FL_Round,Epoch,Node_ID,Accuracy,Loss,Validation_Accuracy,Validation_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Aggregation_Time,FL_Round_Time,Convergence_Time
9,2,1,0.7911995053291321,0.5118585824966431,0.7909089922904968,0.512195348739624,0,230,20295,76538,28.158699,13.018908023834229,1.3113021850585938e-05,0.0,73.35803389549255
9,3,1,0.7911995053291321,0.5118658542633057,0.7909089922904968,0.5122033357620239,0,230,20295,76538,36.78663,13.063116073608398,1.3113021850585938e-05,0.0,73.35803389549255
9,4,1,0.7911995053291321,0.5118456482887268,0.7909089922904968,0.5121937990188599,0,230,20295,76538,24.186367,11.193498849868774,1.0967254638671875e-05,0.0,73.35803389549255
9,5,1,0.7911995053291321,0.5118411779403687,0.7909089922904968,0.5121902823448181,0,230,20295,76538,9.788049,11.566370010375977,0.0,95.22808504104614,73.35803389549255
10,1,1,0.7911995053291321,0.511864185333252,0.7909089922904968,0.512190043926239,0,230,20295,76538,19.155006,16.288130044937134,8.797645568847656e-05,0.0,73.35803389549255
10,2,1,0.7911995053291321,0.5118367671966553,0.7909089922904968,0.5121927857398987,0,230,20295,76538,51.2958,14.663554668426514,1.5020370483398438e-05,0.0,73.35803389549255
10,3,1,0.7911995053291321,0.5118395686149597,0.7909089922904968,0.5121945142745972,0,230,20295,76538,66.20011,14.6923987865448,1.1920928955078125e-05,0.0,73.35803389549255
10,4,1,0.7911995053291321,0.5118363499641418,0.7909089922904968,0.5121942162513733,0,230,20295,76538,30.621971,13.70070195198059,1.3828277587890625e-05,0.0,73.35803389549255
10,5,1,0.7911995053291321,0.511845052242279,0.7909089922904968,0.512188732624054,0,230,20295,76538,36.88057,12.05467700958252,0.0,111.30325388908386,73.35803389549255
11,1,1,0.7911995053291321,0.5118417143821716,0.7909089922904968,0.5121973156929016,0,230,20295,76538,19.592812,12.003298044204712,1.0013580322265625e-05,0.0,73.35803389549255
11,2,1,0.7911995053291321,0.5118729472160339,0.7909089922904968,0.5121922492980957,0,230,20295,76538,11.960261,10.708473920822144,1.0967254638671875e-05,0.0,73.35803389549255
11,3,1,0.7911995053291321,0.5118484497070312,0.7909089922904968,0.5121938586235046,0,230,20295,76538,13.797562,10.989933013916016,1.2874603271484375e-05,0.0,73.35803389549255
11,4,1,0.7911995053291321,0.5118595361709595,0.7909089922904968,0.5121958255767822,0,230,20295,76538,1.295351,13.482481002807617,1.5020370483398438e-05,0.0,73.35803389549255
11,5,1,0.7911995053291321,0.5118586421012878,0.7909089922904968,0.5122033357620239,0,230,20295,76538,36.83053,12.045061826705933,0.0,94.01483988761902,73.35803389549255
12,1,1,0.7911995053291321,0.5118591785430908,0.7909089922904968,0.5122014880180359,0,230,20295,76538,46.648697,16.884698152542114,7.796287536621094e-05,0.0,73.35803389549255
12,2,1,0.7911995053291321,0.5118514895439148,0.7909089922904968,0.5121958255767822,0,230,20295,76538,16.2047,18.594040155410767,1.2874603271484375e-05,0.0,73.35803389549255
12,3,1,0.7911995053291321,0.5118499994277954,0.7909089922904968,0.5121942758560181,0,230,20295,76538,0.7187891,19.402388095855713,1.2874603271484375e-05,0.0,73.35803389549255
12,4,1,0.7911995053291321,0.5118439793586731,0.7909089922904968,0.5121912360191345,0,230,20295,76538,31.97495,17.482155084609985,2.7894973754882812e-05,0.0,73.35803389549255
12,5,1,0.7911995053291321,0.5118520855903625,0.7909089922904968,0.5121906399726868,0,230,20295,76538,18.139517,13.472400188446045,0.0,133.01175999641418,73.35803389549255
13,1,1,0.7911995053291321,0.5118392109870911,0.7909089922904968,0.5121926069259644,0,230,20295,76538,3.6256266,11.28250002861023,1.1205673217773438e-05,0.0,73.35803389549255
13,2,1,0.7911995053291321,0.5118451714515686,0.7909089922904968,0.5121968388557434,0,230,20295,76538,32.827568,10.070153951644897,1.2159347534179688e-05,0.0,73.35803389549255
13,3,1,0.7911995053291321,0.5118487477302551,0.7909089922904968,0.5121930837631226,0,230,20295,76538,17.16463,9.96445894241333,1.0013580322265625e-05,0.0,73.35803389549255
13,4,1,0.7911995053291321,0.5118449330329895,0.7909089922904968,0.5121968388557434,0,230,20295,76538,33.64605,10.288547992706299,9.298324584960938e-06,0.0,73.35803389549255
13,5,1,0.7911995053291321,0.511847972869873,0.7909089922904968,0.5122020244598389,0,230,20295,76538,22.895866,9.96337604522705,0.0,82.07552313804626,73.35803389549255
14,1,1,0.7911995053291321,0.5118582844734192,0.7909089922904968,0.5121898055076599,0,230,20295,76538,36.562286,10.517844915390015,1.0967254638671875e-05,0.0,73.35803389549255
14,2,1,0.7911995053291321,0.5118483901023865,0.7909089922904968,0.5121848583221436,0,230,20295,76538,83.703415,9.948013067245483,1.1920928955078125e-05,0.0,73.35803389549255
